"LOCATION","LOCATION_label.fr","LOCATION_label.en","TRANSACT","TRANSACT_label.fr","TRANSACT_label.en","MEASURE","MEASURE_label.fr","MEASURE_label.en","TIME_FORMAT","TIME_FORMAT_label.en","UNIT","UNIT_label.en","POWERCODE","POWERCODE_label.en","obsTime","obsValue"
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2007",1.743608
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2008",1.758255
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2009",1.800471
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2010",1.713245
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2011",1.714588
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2012",1.681601
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2013",1.662055
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2014",1.684631
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2015",1.665051
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2005",0.711497
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2006",0.710175
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2007",0.721916
