"COU","COU_label.fr","COU_label.en","CORP_TAX","CORP_TAX_label.fr","CORP_TAX_label.en","TAR","TAR_label.fr","TAR_label.en","TIME_FORMAT","TIME_FORMAT_label.en","obsTime","obsValue"
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",20
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",26
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",26
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",26
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",29
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",18
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",18
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",18
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",18
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",16
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",16
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",17.33
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",20
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",20
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",20
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",19
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",19
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",19
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",19
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",19
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",19
"HUN","Hongrie","Hungary","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",19
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",20
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",20
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",20
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",20
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",20
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2000",30
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2001",30
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2002",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2003",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2004",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2005",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2006",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2007",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2008",15
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2009",15
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2010",18
"ISL","Islande","Iceland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2011",20
